Frame Number,Processing Time (s),False Positives,False Negatives,True Positives,ID Switches,IoU Sum,MOTA,Precision,Recall,MOTP,IoU per True Positive
124,0.4866952896118164,1,0,0,0,0,0,0.0,0,0,[]
125,0.503258466720581,1,0,0,0,0,0,0.0,0,0,[]
126,0.47769951820373535,1,0,0,0,0,0,0.0,0,0,[]
127,0.49217963218688965,1,0,0,0,0,0,0.0,0,0,[]
128,0.49225449562072754,1,0,0,0,0,0,0.0,0,0,[]
129,0.4592783451080322,1,0,0,0,0,0,0.0,0,0,[]
130,0.4661598205566406,1,0,0,0,0,0,0.0,0,0,[]
131,0.48221683502197266,1,0,0,0,0,0,0.0,0,0,[]
132,0.4957456588745117,1,0,0,0,0,0,0.0,0,0,[]
133,0.5009524822235107,1,0,0,0,0,0,0.0,0,0,[]
134,0.4603137969970703,1,0,0,0,0,0,0.0,0,0,[]
135,0.4802834987640381,1,0,0,0,0,0,0.0,0,0,[]
136,0.46244263648986816,1,0,0,0,0,0,0.0,0,0,[]
137,0.4727761745452881,1,0,0,0,0,0,0.0,0,0,[]
138,0.4606142044067383,1,0,0,0,0,0,0.0,0,0,[]
139,0.4662332534790039,1,0,0,0,0,0,0.0,0,0,[]
140,0.4864320755004883,1,0,0,0,0,0,0.0,0,0,[]
141,0.7695024013519287,1,0,0,0,0,0,0.0,0,0,[]
142,0.6660406589508057,1,0,0,0,0,0,0.0,0,0,[]
143,0.49454402923583984,1,0,0,0,0,0,0.0,0,0,[]
144,0.5860419273376465,1,0,0,0,0,0,0.0,0,0,[]
145,0.48923158645629883,1,0,0,0,0,0,0.0,0,0,[]
146,0.47069311141967773,1,0,0,0,0,0,0.0,0,0,[]
147,0.47824978828430176,1,0,0,0,0,0,0.0,0,0,[]
148,0.4684467315673828,1,0,0,0,0,0,0.0,0,0,[]
149,0.6432514190673828,1,0,0,0,0,0,0.0,0,0,[]
150,0.6206238269805908,1,0,0,0,0,0,0.0,0,0,[]
151,0.6593272686004639,1,0,0,0,0,0,0.0,0,0,[]
152,0.4809119701385498,1,0,0,0,0,0,0.0,0,0,[]
153,0.49798083305358887,1,0,0,0,0,0,0.0,0,0,[]
154,0.5103986263275146,1,0,0,0,0,0,0.0,0,0,[]
155,0.5078394412994385,1,0,0,0,0,0,0.0,0,0,[]
156,0.6155035495758057,1,0,0,0,0,0,0.0,0,0,[]
157,0.7714183330535889,1,0,0,0,0,0,0.0,0,0,[]
158,0.7079625129699707,1,0,0,0,0,0,0.0,0,0,[]
159,0.6642410755157471,0,0,0,0,0,0,0,0,0,[]
160,0.7556576728820801,1,0,0,0,0,0,0.0,0,0,[]
161,0.48964691162109375,1,0,0,0,0,0,0.0,0,0,[]
162,0.4922928810119629,1,0,0,0,0,0,0.0,0,0,[]
163,0.4694862365722656,1,0,0,0,0,0,0.0,0,0,[]
164,0.5199325084686279,0,0,0,0,0,0,0,0,0,[]
165,1.0989601612091064,1,0,0,0,0,0,0.0,0,0,[]
166,0.7294456958770752,0,0,0,0,0,0,0,0,0,[]
167,0.8548915386199951,1,0,0,0,0,0,0.0,0,0,[]
168,0.6043686866760254,1,0,0,0,0,0,0.0,0,0,[]
169,0.5020394325256348,1,0,0,0,0,0,0.0,0,0,[]
170,0.47063565254211426,0,0,0,0,0,0,0,0,0,[]
171,0.46639418601989746,1,0,0,0,0,0,0.0,0,0,[]
172,0.5148160457611084,1,0,0,0,0,0,0.0,0,0,[]
173,0.6397383213043213,1,0,0,0,0,0,0.0,0,0,[]
174,0.5154104232788086,0,0,0,0,0,0,0,0,0,[]
175,0.5183279514312744,1,0,0,0,0,0,0.0,0,0,[]
176,0.6426584720611572,1,0,0,0,0,0,0.0,0,0,[]
177,0.5536305904388428,1,0,0,0,0,0,0.0,0,0,[]
304,0.5387358665466309,1,0,0,0,0,0,0.0,0,0,[]
310,0.5516932010650635,1,0,0,0,0,0,0.0,0,0,[]
311,0.5550117492675781,2,0,0,0,0,0,0.0,0,0,[]
312,0.5018916130065918,1,0,0,0,0,0,0.0,0,0,[]
313,0.5715010166168213,1,0,0,0,0,0,0.0,0,0,[]
314,0.5279011726379395,1,0,0,0,0,0,0.0,0,0,[]
315,0.5428919792175293,2,0,0,0,0,0,0.0,0,0,[]
316,0.5008623600006104,2,0,0,0,0,0,0.0,0,0,[]
317,0.5045239925384521,1,0,0,0,0,0,0.0,0,0,[]
318,0.5639898777008057,1,0,0,0,0,0,0.0,0,0,[]
319,0.5851316452026367,2,0,0,0,0,0,0.0,0,0,[]
320,0.6313300132751465,1,0,0,0,0,0,0.0,0,0,[]
321,0.575188159942627,1,0,0,0,0,0,0.0,0,0,[]
322,0.5951786041259766,1,0,0,0,0,0,0.0,0,0,[]
323,0.6173446178436279,1,0,0,0,0,0,0.0,0,0,[]
